date,tvl,asset_type
2022-07-10 00:00:00,0.0,ITS
2022-07-10 00:00:00,108360399.4,non-ITS
2022-07-11 00:00:00,0.0,ITS
2022-07-11 00:00:00,107975065.6,non-ITS
2022-07-12 00:00:00,0.0,ITS
2022-07-12 00:00:00,107022879.5,non-ITS
2022-07-13 00:00:00,106786452.5,non-ITS
2022-07-13 00:00:00,0.0,ITS
2022-07-14 00:00:00,0.0,ITS
2022-07-14 00:00:00,108132318.8,non-ITS
2022-07-15 00:00:00,109124358.6,non-ITS
2022-07-15 00:00:00,0.0,ITS
2022-07-16 00:00:00,0.0,ITS
2022-07-16 00:00:00,109522055.0,non-ITS
2022-07-17 00:00:00,110465747.4,non-ITS
2022-07-17 00:00:00,0.0,ITS
2022-07-18 00:00:00,0.0,ITS
2022-07-18 00:00:00,111576243.3,non-ITS
2022-07-19 00:00:00,0.0,ITS
2022-07-19 00:00:00,112916332.8,non-ITS
2022-07-20 00:00:00,0.0,ITS
2022-07-20 00:00:00,113560876.5,non-ITS
2022-07-21 00:00:00,0.0,ITS
2022-07-21 00:00:00,116747381.3,non-ITS
2022-07-22 00:00:00,118461703.7,non-ITS
2022-07-22 00:00:00,0.0,ITS
2022-07-23 00:00:00,120370829.9,non-ITS
2022-07-23 00:00:00,0.0,ITS
2022-07-24 00:00:00,121257065.8,non-ITS
2022-07-24 00:00:00,0.0,ITS
2022-07-25 00:00:00,118821524.4,non-ITS
2022-07-25 00:00:00,0.0,ITS
2022-07-26 00:00:00,118146289.4,non-ITS
2022-07-26 00:00:00,0.0,ITS
2022-07-27 00:00:00,119209403.4,non-ITS
2022-07-27 00:00:00,0.0,ITS
2022-07-28 00:00:00,0.0,ITS
2022-07-28 00:00:00,121181205.5,non-ITS
2022-07-29 00:00:00,0.0,ITS
2022-07-29 00:00:00,123804027.5,non-ITS
2022-07-30 00:00:00,124122866.3,non-ITS
2022-07-30 00:00:00,0.0,ITS
2022-07-31 00:00:00,0.0,ITS
2022-07-31 00:00:00,127452223.0,non-ITS
2022-08-01 00:00:00,0.0,ITS
2022-08-01 00:00:00,127814423.2,non-ITS
2022-08-02 00:00:00,0.0,ITS
2022-08-02 00:00:00,126265389.4,non-ITS
2022-08-03 00:00:00,126146084.5,non-ITS
2022-08-03 00:00:00,0.0,ITS
2022-08-04 00:00:00,0.0,ITS
2022-08-04 00:00:00,127097818.0,non-ITS
2022-08-05 00:00:00,127101070.7,non-ITS
2022-08-05 00:00:00,0.0,ITS
2022-08-06 00:00:00,0.0,ITS
2022-08-06 00:00:00,127257937.7,non-ITS
2022-08-07 00:00:00,130577442.0,non-ITS
2022-08-07 00:00:00,0.0,ITS
2022-08-08 00:00:00,131114932.2,non-ITS
2022-08-08 00:00:00,0.0,ITS
2022-08-09 00:00:00,0.0,ITS
2022-08-09 00:00:00,131016513.4,non-ITS
2022-08-10 00:00:00,0.0,ITS
2022-08-10 00:00:00,131217756.8,non-ITS
2022-08-11 00:00:00,0.0,ITS
2022-08-11 00:00:00,132101220.5,non-ITS
2022-08-12 00:00:00,0.0,ITS
2022-08-12 00:00:00,132379854.4,non-ITS
2022-08-13 00:00:00,133101361.5,non-ITS
2022-08-13 00:00:00,0.0,ITS
2022-08-14 00:00:00,135744767.5,non-ITS
2022-08-14 00:00:00,0.0,ITS
2022-08-15 00:00:00,135226210.4,non-ITS
2022-08-15 00:00:00,0.0,ITS
2022-08-16 00:00:00,0.0,ITS
2022-08-16 00:00:00,134088842.2,non-ITS
2022-08-17 00:00:00,0.0,ITS
2022-08-17 00:00:00,135731901.7,non-ITS
2022-08-18 00:00:00,0.0,ITS
2022-08-18 00:00:00,134831071.4,non-ITS
2022-08-19 00:00:00,0.0,ITS
2022-08-19 00:00:00,134735814.8,non-ITS
2022-08-20 00:00:00,0.0,ITS
2022-08-20 00:00:00,134110092.7,non-ITS
2022-08-21 00:00:00,132726285.5,non-ITS
2022-08-21 00:00:00,0.0,ITS
2022-08-22 00:00:00,0.0,ITS
2022-08-22 00:00:00,133348005.5,non-ITS
2022-08-23 00:00:00,0.0,ITS
2022-08-23 00:00:00,135361589.3,non-ITS
2022-08-24 00:00:00,136854058.2,non-ITS
2022-08-24 00:00:00,0.0,ITS
2022-08-25 00:00:00,139154535.2,non-ITS
2022-08-25 00:00:00,0.0,ITS
2022-08-26 00:00:00,0.0,ITS
2022-08-26 00:00:00,141565461.7,non-ITS
2022-08-27 00:00:00,139244215.6,non-ITS
2022-08-27 00:00:00,0.0,ITS
2022-08-28 00:00:00,0.0,ITS
2022-08-28 00:00:00,138702096.7,non-ITS
2022-08-29 00:00:00,0.0,ITS
2022-08-29 00:00:00,135825221.0,non-ITS
2022-08-30 00:00:00,0.0,ITS
2022-08-30 00:00:00,136343482.7,non-ITS
2022-08-31 00:00:00,139353840.2,non-ITS
2022-08-31 00:00:00,0.0,ITS
2022-09-01 00:00:00,139273592.7,non-ITS
2022-09-01 00:00:00,0.0,ITS
2022-09-02 00:00:00,140578695.7,non-ITS
2022-09-02 00:00:00,0.0,ITS
2022-09-03 00:00:00,140875821.6,non-ITS
2022-09-03 00:00:00,0.0,ITS
2022-09-04 00:00:00,0.0,ITS
2022-09-04 00:00:00,142263895.0,non-ITS
2022-09-05 00:00:00,0.0,ITS
2022-09-05 00:00:00,142862611.3,non-ITS
2022-09-06 00:00:00,0.0,ITS
2022-09-06 00:00:00,143730811.3,non-ITS
2022-09-07 00:00:00,0.0,ITS
2022-09-07 00:00:00,142406852.4,non-ITS
2022-09-08 00:00:00,145358910.4,non-ITS
2022-09-08 00:00:00,0.0,ITS
2022-09-09 00:00:00,0.0,ITS
2022-09-09 00:00:00,158365929.6,non-ITS
2022-09-10 00:00:00,160424892.6,non-ITS
2022-09-10 00:00:00,0.0,ITS
2022-09-11 00:00:00,0.0,ITS
2022-09-11 00:00:00,161420577.7,non-ITS
2022-09-12 00:00:00,0.0,ITS
2022-09-12 00:00:00,160428376.5,non-ITS
2022-09-13 00:00:00,0.0,ITS
2022-09-13 00:00:00,159480884.2,non-ITS
2022-09-14 00:00:00,0.0,ITS
2022-09-14 00:00:00,142409133.6,non-ITS
2022-09-15 00:00:00,0.0,ITS
2022-09-15 00:00:00,146457145.5,non-ITS
2022-09-16 00:00:00,0.0,ITS
2022-09-16 00:00:00,145208378.8,non-ITS
2022-09-17 00:00:00,0.0,ITS
2022-09-17 00:00:00,147840518.6,non-ITS
2022-09-18 00:00:00,147212162.3,non-ITS
2022-09-18 00:00:00,0.0,ITS
2022-09-19 00:00:00,0.0,ITS
2022-09-19 00:00:00,145905541.7,non-ITS
2022-09-20 00:00:00,0.0,ITS
2022-09-20 00:00:00,146117000.7,non-ITS
2022-09-21 00:00:00,145213162.7,non-ITS
2022-09-21 00:00:00,0.0,ITS
2022-09-22 00:00:00,0.0,ITS
2022-09-22 00:00:00,156859996.8,non-ITS
2022-09-23 00:00:00,157307422.5,non-ITS
2022-09-23 00:00:00,0.0,ITS
2022-09-24 00:00:00,158040200.2,non-ITS
2022-09-24 00:00:00,0.0,ITS
2022-09-25 00:00:00,158760139.7,non-ITS
2022-09-25 00:00:00,0.0,ITS
2022-09-26 00:00:00,158569019.1,non-ITS
2022-09-26 00:00:00,0.0,ITS
2022-09-27 00:00:00,0.0,ITS
2022-09-27 00:00:00,171024655.5,non-ITS
2022-09-28 00:00:00,0.0,ITS
2022-09-28 00:00:00,171172550.5,non-ITS
2022-09-29 00:00:00,0.0,ITS
2022-09-29 00:00:00,180575950.7,non-ITS
2022-09-30 00:00:00,175023926.2,non-ITS
2022-09-30 00:00:00,0.0,ITS
2022-10-01 00:00:00,173174472.6,non-ITS
2022-10-01 00:00:00,0.0,ITS
2022-10-02 00:00:00,172650141.8,non-ITS
2022-10-02 00:00:00,0.0,ITS
2022-10-03 00:00:00,172965860.7,non-ITS
2022-10-03 00:00:00,0.0,ITS
2022-10-04 00:00:00,0.0,ITS
2022-10-04 00:00:00,178157732.6,non-ITS
2022-10-05 00:00:00,0.0,ITS
2022-10-05 00:00:00,179764861.9,non-ITS
2022-10-06 00:00:00,185161371.8,non-ITS
2022-10-06 00:00:00,0.0,ITS
2022-10-07 00:00:00,187048959.0,non-ITS
2022-10-07 00:00:00,0.0,ITS
2022-10-08 00:00:00,192275154.4,non-ITS
2022-10-08 00:00:00,0.0,ITS
2022-10-09 00:00:00,0.0,ITS
2022-10-09 00:00:00,181694501.5,non-ITS
2022-10-10 00:00:00,182072158.4,non-ITS
2022-10-10 00:00:00,0.0,ITS
2022-10-11 00:00:00,0.0,ITS
2022-10-11 00:00:00,183101106.0,non-ITS
2022-10-12 00:00:00,184809420.2,non-ITS
2022-10-12 00:00:00,0.0,ITS
2022-10-13 00:00:00,0.0,ITS
2022-10-13 00:00:00,182480610.4,non-ITS
2022-10-14 00:00:00,0.0,ITS
2022-10-14 00:00:00,187121069.3,non-ITS
2022-10-15 00:00:00,185230874.1,non-ITS
2022-10-15 00:00:00,0.0,ITS
2022-10-16 00:00:00,0.0,ITS
2022-10-16 00:00:00,185938439.8,non-ITS
2022-10-17 00:00:00,0.0,ITS
2022-10-17 00:00:00,186464761.2,non-ITS
2022-10-18 00:00:00,0.0,ITS
2022-10-18 00:00:00,185901113.7,non-ITS
2022-10-19 00:00:00,0.0,ITS
2022-10-19 00:00:00,187067286.5,non-ITS
2022-10-20 00:00:00,0.0,ITS
2022-10-20 00:00:00,180718568.9,non-ITS
2022-10-21 00:00:00,180280893.6,non-ITS
2022-10-21 00:00:00,0.0,ITS
2022-10-22 00:00:00,0.0,ITS
2022-10-22 00:00:00,179309869.3,non-ITS
2022-10-23 00:00:00,179367188.6,non-ITS
2022-10-23 00:00:00,0.0,ITS
2022-10-24 00:00:00,181812656.5,non-ITS
2022-10-24 00:00:00,0.0,ITS
2022-10-25 00:00:00,179605184.4,non-ITS
2022-10-25 00:00:00,0.0,ITS
2022-10-26 00:00:00,182356857.1,non-ITS
2022-10-26 00:00:00,0.0,ITS
2022-10-27 00:00:00,182550030.9,non-ITS
2022-10-27 00:00:00,0.0,ITS
2022-10-28 00:00:00,200460044.4,non-ITS
2022-10-28 00:00:00,0.0,ITS
2022-10-29 00:00:00,198660169.2,non-ITS
2022-10-29 00:00:00,0.0,ITS
2022-10-30 00:00:00,0.0,ITS
